ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412321,0.4090245526083378,0.5023916500620299,Warner,Democrat,centrist Democrat,29,223,65,157
456858,0.551291698787211,0.6577494434532924,Warnock,Democrat,centrist Democrat,18,264,98,158
300100,0.08123103034122477,0.588459316784761,Wyden,Democrat,progressive Democrat,49,378,63,324
412490,0.07117482530441256,0.8567962772046351,Blumenthal,Democrat,progressive Democratic leader,87,529,84,631
300087,0.31384001247188464,0.5768229358579514,Schumer,Democrat,rank-and-file Democrat,18,153,50,157
412323,0.3706205910941732,0.8577096458404498,Shaheen,Democrat,moderate Democratic leader,61,353,80,429
412715,0.37679305263676516,0.5744771695519697,Rosen,Democrat,rank-and-file Democrat,47,288,77,182
300018,0.3213576432103262,0.402451237332829,Cantwell,Democrat,rank-and-file Democrat,16,152,58,104
456794,0.4621493017038887,0.260467413915549,Kelly,Democrat,centrist Democratic follower,26,261,50,91
456874,0.8510391798504595,0.36421125615106514,Britt,Republican,rank-and-file Republican,21,231,77,193
412712,0.9143236475664485,0.33302716792472287,Budd,Republican,conservative Republican,27,286,52,88
412568,0.727565475508948,0.2606852345981755,Mullin,Republican,moderate Republican follower,20,140,61,138
456952,0.875481145902916,0.32818720297391085,Ricketts,Republican,conservative Republican,42,257,61,157
456875,0.7929274286322924,0.2601792997338725,Schmitt,Republican,moderate Republican follower,37,126,65,157
456876,0.7008341205367447,0.07716264903236654,Vance,Republican,centrist Republican follower ,0,2,0,0
412239,0.14695518359715598,0.3477265684817094,Welch,Democrat,rank-and-file Democrat,56,449,62,259
456877,0.3143794194040671,0.21251378891049172,Fetterman,Democrat,moderate Democratic follower,20,261,47,86
412797,0.33116109410065786,0.018651909910415435,Kim,Democrat,moderate Democratic follower,17,264,17,18
400361,0.3244745819282795,0.1561141581992458,Schiff,Democrat,moderate Democratic follower,31,352,52,150
412702,0.7080345107435234,0.18372746536067838,Banks,Republican,moderate Republican follower,74,165,58,157
412740,0.6133682125722776,0.04179491040361688,Curtis,Republican,centrist Republican follower ,35,137,25,47
456968,0.6711017122545504,0.1404216015709037,McCormick,Republican,centrist Republican follower ,22,144,63,91
456967,0.6852797554871016,0.0,Moreno,Republican,centrist Republican follower ,20,141,11,13
456966,0.7222502824339475,0.12186295496864188,Sheehy,Republican,moderate Republican follower,44,227,52,90
456969,0.7016543958753482,0.06726960822235109,Justice,Republican,moderate Republican follower,8,200,34,52
457033,0.6718286475665867,0.12907076804586728,Moody,Republican,centrist Republican follower ,22,131,53,93
456965,0.33207607759106994,0.1320951070868284,Alsobrooks,Democrat,moderate Democratic follower,20,235,42,133
457032,0.6719981305299829,0.05382182818198127,Husted,Republican,centrist Republican follower ,27,94,32,43
412612,0.4418587495828354,0.07701937980757381,Gallego,Democrat,centrist Democratic follower,36,280,41,58
412784,0.44979955211816197,0.0036375998261471035,Slotkin,Democrat,centrist Democratic follower,16,176,11,14
412689,0.37948968793889076,0.10841772650661538,Blunt Rochester,Democrat,moderate Democratic follower,23,185,46,83
