ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
400314,0.33242742225127125,0.4542965319456726,Pelosi,Democrat,rank-and-file Democrat,0,67,0,0
400364,0.25152947751060106,0.8372851520067478,Scott [VA3],Democrat,moderate Democratic leader,16,126,224,869
400402,0.2147920413117804,0.5287560641877351,Thompson [MS2],Democrat,rank-and-file Democrat,11,316,144,177
456855,0.6821886223079059,0.543119115330376,Fitzgerald,Republican,rank-and-file Republican,20,136,131,181
456805,0.7981775184468318,0.5661978657626363,Boebert,Republican,conservative Republican,11,181,77,112
456800,0.8418976107745801,0.4012420601596544,Moore [AL1],Republican,conservative Republican,21,316,97,145
412817,0.6862883867253745,0.40688813258027035,Burchett,Republican,rank-and-file Republican,43,145,65,93
412746,0.7276860445005325,0.7273007847892347,Cloud,Republican,moderate Republican leader,20,131,146,339
412826,0.7101682298500989,0.8596387880047247,Roy,Republican,moderate Republican leader,44,106,265,737
412399,0.5503918178704557,0.35748661798843046,Schweikert,Republican,centrist Republican,19,57,55,58
412775,0.16547684514466096,0.5380866746947105,Casten,Democrat,progressive Democrat,35,271,169,380
456814,0.6416115514381676,0.43011605105659617,Greene,Republican,rank-and-file Republican,15,90,69,130
412596,0.5653420964571889,0.6387301879989465,Smith [MO8],Republican,rank-and-file Republican,7,24,50,98
412776,0.234997645998222,0.6706211996047101,Underwood,Democrat,rank-and-file Democrat,24,165,202,326
456802,0.5635970424944498,0.72497099506984,Kim,Republican,moderate Republican leader,38,253,172,307
400232,0.2701102201831033,0.40680826732444764,Larsen,Democrat,rank-and-file Democrat,8,147,50,59
412753,0.3567795332706242,0.45870859374275025,Stanton,Democrat,centrist Democrat,21,238,28,39
456822,0.5497156146311019,0.3614295929711525,Spartz,Republican,centrist Republican,10,27,19,19
412818,0.7378631202834364,0.517178361477471,Rose,Republican,rank-and-file Republican,11,177,124,164
400291,0.3133171193635522,0.5043678806542662,Neal,Democrat,rank-and-file Democrat,2,93,12,12
412476,0.680944912244918,0.06120342532615255,Fleischmann,Republican,moderate Republican follower,6,171,3,3
412754,0.44858991364717055,0.36711459714292494,Harder,Democrat,centrist Democrat,31,357,70,101
412485,0.5704868121261347,0.5203537481790678,Griffith,Republican,rank-and-file Republican,27,60,117,167
456871,0.40003788051167016,0.36270640544877353,Ryan,Democrat,centrist Democrat,17,167,81,96
456948,0.24319475521544417,0.4956873205515588,Balint,Democrat,rank-and-file Democrat,14,282,158,372
456901,0.35469362141306066,0.28263120650958184,Budzinski,Democrat,centrist Democrat,13,359,47,63
456945,0.19905055253297657,0.24836592717107342,Casar,Democrat,moderate Democratic follower,2,213,42,43
456944,0.22983488732900417,0.44115041796073406,Crockett,Democrat,rank-and-file Democrat,16,230,114,187
456936,0.31614292196399985,0.39821646885408496,Deluzio,Democrat,rank-and-file Democrat,20,382,138,228
456913,0.2559525541031262,0.1998356029014377,Foushee,Democrat,moderate Democratic follower,13,281,36,39
456885,0.2134941386518228,0.5359697017133965,Garcia [CA42],Democrat,rank-and-file Democrat,17,312,140,243
456923,0.20788438217134927,0.559133726459007,Goldman [NY10],Democrat,rank-and-file Democrat,22,456,238,493
456884,0.21312395660227612,0.5012193997149822,Kamlager-Dove,Democrat,rank-and-file Democrat,21,265,127,275
